occupation_title,task
"Preschool Teachers, Except Special Education","Encourage creativity and imagination through arts and crafts, music, and storytelling"
"Preschool Teachers, Except Special Education",Manage classroom behavior by setting clear expectations and providing positive reinforcement
"Preschool Teachers, Except Special Education","Attend staff meetings, workshops, and professional development sessions"
"Preschool Teachers, Except Special Education","Maintain classroom records, including attendance and incident reports"
"Preschool Teachers, Except Special Education",Collaborate with other teachers and support staff to ensure a cohesive learning experience
"Preschool Teachers, Except Special Education",Adapt teaching methods to accommodate different learning styles and needs
"Preschool Teachers, Except Special Education",Plan and participate in field trips and special events
"Kindergarten Teachers, Except Special Education",Develop lesson plans that meet curriculum standards
"Kindergarten Teachers, Except Special Education",Prepare and set up classroom materials and resources
"Kindergarten Teachers, Except Special Education",Conduct daily classroom activities and manage group settings
"Kindergarten Teachers, Except Special Education",Facilitate play-based learning and educational games
"Kindergarten Teachers, Except Special Education",Assess and evaluate children's progress and development
"Kindergarten Teachers, Except Special Education",Communicate effectively with parents and guardians about student progress
"Kindergarten Teachers, Except Special Education",Create a welcoming and inclusive classroom environment
"Kindergarten Teachers, Except Special Education",Guide students in basic social skills and conflict resolution
"Kindergarten Teachers, Except Special Education",Implement behavioral management strategies as needed
"Kindergarten Teachers, Except Special Education",Organize and supervise indoor and outdoor play activities
"Kindergarten Teachers, Except Special Education",Provide individualized attention to students as required
"Kindergarten Teachers, Except Special Education",Maintain classroom cleanliness and organization
"Kindergarten Teachers, Except Special Education",Integrate technology in lessons when appropriate
"Kindergarten Teachers, Except Special Education",Collaborate with other teachers and staff on student projects
"Kindergarten Teachers, Except Special Education",Attend staff meetings and professional development workshops
"Kindergarten Teachers, Except Special Education",Document students' learning experiences and achievements
"Kindergarten Teachers, Except Special Education",Prepare reports or updates for administration as needed
"Kindergarten Teachers, Except Special Education",Build positive relationships with students to foster a love of learning
"Elementary School Teachers, Except Special Education",Develop and implement lesson plans that align with curriculum standards
"Elementary School Teachers, Except Special Education","Instruct students in various subjects, including language arts, math, science, and social studies"
"Elementary School Teachers, Except Special Education","Assess and evaluate student performance through tests, assignments, and observations"
"Elementary School Teachers, Except Special Education",Provide individualized instruction to meet the needs of diverse learners
"Elementary School Teachers, Except Special Education",Create a positive and inclusive classroom environment that promotes learning
"Elementary School Teachers, Except Special Education",Communicate regularly with parents and guardians about student progress and behavior
"Elementary School Teachers, Except Special Education",Collaborate with other teachers and staff to support students' learning experiences
"Elementary School Teachers, Except Special Education",Manage classroom behavior and implement discipline policies as needed
"Elementary School Teachers, Except Special Education","Organize and participate in school events, such as field trips and parent-teacher conferences"
"Elementary School Teachers, Except Special Education","Maintain accurate records of student attendance, grades, and behavior"
"Elementary School Teachers, Except Special Education",Utilize educational technology and resources to enhance teaching and learning
"Elementary School Teachers, Except Special Education",Engage in professional development activities to stay current in educational best practices
"Elementary School Teachers, Except Special Education",Support students with social-emotional learning and conflict resolution
"Elementary School Teachers, Except Special Education",Adapt lessons to accommodate different learning styles and abilities
"Elementary School Teachers, Except Special Education",Encourage critical thinking and problem-solving skills through classroom discussions and activities
"Middle School Teachers, Except Special and Career/Technical Education",Develop and implement lesson plans and instructional materials
"Middle School Teachers, Except Special and Career/Technical Education","Teach academic subjects such as math, science, language arts, and social studies"
"Middle School Teachers, Except Special and Career/Technical Education",Assess and evaluate student progress and understanding
"Middle School Teachers, Except Special and Career/Technical Education",Provide individualized support and instruction to students
"Middle School Teachers, Except Special and Career/Technical Education",Manage classroom behavior and create a positive learning environment
"Middle School Teachers, Except Special and Career/Technical Education",Communicate with parents and guardians regarding student performance and behavior
"Middle School Teachers, Except Special and Career/Technical Education",Collaborate with colleagues to improve teaching practices and curriculum design
"Middle School Teachers, Except Special and Career/Technical Education",Organize and supervise educational activities and field trips
"Middle School Teachers, Except Special and Career/Technical Education",Maintain accurate student records and documentation
"Middle School Teachers, Except Special and Career/Technical Education","Attend staff meetings, professional development sessions, and training workshops"
"Career/Technical Education Teachers, Middle School",Develop lesson plans that align with curriculum standards for middle school students.
"Career/Technical Education Teachers, Middle School","Teach various career and technical subjects such as computer science, woodworking, culinary arts, etc."
"Career/Technical Education Teachers, Middle School",Utilize instructional technologies and tools to enhance the learning experience.
"Career/Technical Education Teachers, Middle School","Assess student performance through tests, projects, and presentations."
"Career/Technical Education Teachers, Middle School",Provide guidance on career exploration and technical skills development.
"Career/Technical Education Teachers, Middle School",Maintain a safe and organized classroom environment for hands-on activities.
"Career/Technical Education Teachers, Middle School",Collaborate with other teachers to integrate career and technical education with other subjects.
"Career/Technical Education Teachers, Middle School",Communicate with parents and guardians about student progress and behavior.
"Career/Technical Education Teachers, Middle School",Attend professional development workshops and training sessions to stay updated on industry trends.
"Career/Technical Education Teachers, Middle School",Prepare and maintain instructional materials and equipment for classes.
"Secondary School Teachers, Except Special and Career/Technical Education",Plan and prepare lesson plans and instructional materials according to curriculum standards.
"Secondary School Teachers, Except Special and Career/Technical Education",Deliver engaging and effective lessons to students in designated subjects.
"Secondary School Teachers, Except Special and Career/Technical Education",Assess and evaluate students' progress and performance through assignments and tests.
"Secondary School Teachers, Except Special and Career/Technical Education",Provide constructive feedback and support to students to improve their understanding and skills.
"Secondary School Teachers, Except Special and Career/Technical Education",Maintain a positive classroom environment that encourages learning and respect among students.
"Secondary School Teachers, Except Special and Career/Technical Education","Communicate with parents and guardians regarding student progress, behavior, and school events."
"Secondary School Teachers, Except Special and Career/Technical Education","Supervise students during classroom activities, lunch, and recess to ensure safety and adherence to school rules."
"Secondary School Teachers, Except Special and Career/Technical Education",Utilize technology and digital resources to enhance teaching and learning experiences.
"Secondary School Teachers, Except Special and Career/Technical Education","Collaborate with colleagues on curriculum development, school events, and student support initiatives."
"Secondary School Teachers, Except Special and Career/Technical Education",Participate in professional development opportunities to stay current with educational methods and practices.
"Career/Technical Education Teachers, Secondary School",Develop lesson plans and instructional materials to teach technical subjects
"Career/Technical Education Teachers, Secondary School",Deliver lectures and practical demonstrations in a classroom environment
"Career/Technical Education Teachers, Secondary School","Assess and evaluate student performance through tests, projects, and presentations"
"Career/Technical Education Teachers, Secondary School",Incorporate hands-on learning and technology into the curriculum
"Career/Technical Education Teachers, Secondary School",Maintain up-to-date knowledge of advances in the field and relevant industry practices
"Career/Technical Education Teachers, Secondary School",Teach students about safety protocols and best practices in technical processes
"Career/Technical Education Teachers, Secondary School",Foster a classroom environment conducive to student learning and engagement
"Career/Technical Education Teachers, Secondary School",Collaborate with other teachers and staff to support student learning
"Career/Technical Education Teachers, Secondary School",Meet with parents and guardians to discuss student progress and address concerns
"Career/Technical Education Teachers, Secondary School","Prepare and manage class schedules, grading systems, and academic reports"
"Career/Technical Education Teachers, Secondary School",Attend faculty meetings and professional development workshops
"Career/Technical Education Teachers, Secondary School",Create and organize extracurricular activities related to technical education
"Career/Technical Education Teachers, Secondary School",Establish relationships with local businesses and industry partners for student job placements and internships
"Special Education Teachers, Preschool",Develop individualized education plans (IEPs) for each student
"Special Education Teachers, Preschool",Assess students' skills and needs to tailor instructional strategies
"Special Education Teachers, Preschool",Create and implement lesson plans that address diverse learning styles
"Special Education Teachers, Preschool",Provide one-on-one and small group instruction to facilitate learning
"Special Education Teachers, Preschool",Monitor and assess student progress and adapt teaching methods as needed
"Special Education Teachers, Preschool","Collaborate with other educators, specialists, and parents to support student development"
"Special Education Teachers, Preschool",Manage classroom behavior and implement positive reinforcement strategies
"Special Education Teachers, Preschool",Create a nurturing and supportive classroom environment
"Special Education Teachers, Preschool",Maintain detailed records of student progress and behaviors
"Special Education Teachers, Preschool","Coordinate with therapists, social workers, and other support staff"
"Special Education Teachers, Preschool",Communicate regularly with parents and guardians about student performance
"Special Education Teachers, Preschool",Participate in staff meetings and professional development workshops
"Special Education Teachers, Preschool",Stay informed about state and federal regulations concerning special education
"Special Education Teachers, Preschool",Utilize technology and assistive devices to enhance learning experiences
"Special Education Teachers, Preschool",Prepare and distribute reports and documentation related to student achievements and challenges
"Special Education Teachers, Kindergarten and Elementary School",Develop and implement individualized education plans (IEPs) for each student with special needs.
"Special Education Teachers, Kindergarten and Elementary School",Assess students’ skills and abilities to create tailored learning experiences.
"Special Education Teachers, Kindergarten and Elementary School",Collaborate with general education teachers to support inclusion in classrooms.
"Special Education Teachers, Kindergarten and Elementary School",Adapt teaching methods and instructional materials to meet students' varying needs.
"Special Education Teachers, Kindergarten and Elementary School",Monitor and document students' progress towards goals outlined in their IEPs.
"Special Education Teachers, Kindergarten and Elementary School",Provide one-on-one or small group instruction to reinforce skills and concepts.
"Special Education Teachers, Kindergarten and Elementary School",Create a safe and supportive classroom environment that encourages learning and participation.
"Special Education Teachers, Kindergarten and Elementary School",Communicate regularly with parents and guardians about their child's progress.
"Special Education Teachers, Kindergarten and Elementary School",Attend and participate in team meetings and conferences regarding student development.
"Special Education Teachers, Kindergarten and Elementary School",Maintain accurate records of student performance and behavior.
"Special Education Teachers, Kindergarten and Elementary School",Design and implement behavioral interventions to support students with challenging behaviors.
"Special Education Teachers, Kindergarten and Elementary School",Prepare teaching materials and resources that accommodate different learning styles.
"Special Education Teachers, Kindergarten and Elementary School",Incorporate technology into the classroom to enhance learning experiences.
"Special Education Teachers, Kindergarten and Elementary School",Conduct training sessions for classroom aides and support staff.
"Special Education Teachers, Kindergarten and Elementary School",Engage in professional development activities to stay current with best practices in special education.
"Special Education Teachers, Middle School",Develop individualized education programs (IEPs) for students with disabilities
"Special Education Teachers, Middle School",Assess and evaluate students' academic and social needs
"Special Education Teachers, Middle School",Collaborate with general education teachers to integrate students into mainstream classes
"Special Education Teachers, Middle School",Implement instructional strategies tailored to students' unique learning needs
"Special Education Teachers, Middle School",Maintain detailed records of students' progress and IEP goals
"Special Education Teachers, Middle School",Communicate regularly with parents and guardians regarding student progress and needs
"Special Education Teachers, Middle School",Create a positive and supportive classroom environment
"Special Education Teachers, Middle School",Adapt lesson plans and materials to meet diverse learning styles
"Special Education Teachers, Middle School",Monitor classroom behavior and implement behavioral interventions when necessary
"Special Education Teachers, Middle School",Attend IEP meetings and contribute to decision-making regarding student services
"Special Education Teachers, Middle School",Provide training and support to paraprofessionals or teaching assistants working with special needs students
"Special Education Teachers, Middle School",Stay updated on best practices and legal requirements in special education
"Special Education Teachers, Middle School",Participate in professional development opportunities to improve instructional skills
"Special Education Teachers, Middle School",Work with therapists and other specialists to coordinate services for students
"Special Education Teachers, Middle School",Use technology effectively to support learning and communication for students with disabilities
"Special Education Teachers, Secondary School",Develop and implement individualized education plans (IEPs) for students with special needs
"Special Education Teachers, Secondary School",Conduct assessments to identify students' learning and behavioral challenges
"Special Education Teachers, Secondary School",Adapt lesson plans and instructional materials to meet the diverse needs of students
"Special Education Teachers, Secondary School",Provide direct instruction in academic subjects and life skills
"Special Education Teachers, Secondary School",Collaborate with general education teachers to ensure appropriate supports are in place
"Special Education Teachers, Secondary School",Monitor student progress and document changes in behavior and academic performance
"Special Education Teachers, Secondary School",Communicate regularly with parents or guardians regarding student progress and any concerns
"Special Education Teachers, Secondary School",Maintain accurate records of student performance and progress
"Special Education Teachers, Secondary School",Assist in the transition planning for students moving to post-secondary education or vocational training
"Special Education Teachers, Secondary School",Provide support in the classroom to help students engage with their peers and participate in group activities
"Special Education Teachers, Secondary School",Create a positive and inclusive classroom environment that encourages student participation
"Special Education Teachers, Secondary School",Implement classroom management strategies to promote a positive learning atmosphere
"Special Education Teachers, Secondary School",Participate in professional development opportunities to enhance teaching skills and knowledge of special education
"Special Education Teachers, Secondary School","Work with school psychologists, speech therapists, and other specialists to support student needs"
"Special Education Teachers, Secondary School",Advocate for students' rights and needs within the school and community.
"Special Education Teachers, All Other",Develop and implement individualized education programs (IEPs) for students with diverse learning needs.
"Special Education Teachers, All Other",Assess students' skills and abilities to determine individual needs and appropriate instructional strategies.
"Special Education Teachers, All Other",Adapt lesson plans and instructional materials to accommodate various learning styles and disabilities.
"Special Education Teachers, All Other",Conduct classroom observations to monitor student progress and effectiveness of educational interventions.
"Special Education Teachers, All Other","Collaborate with general education teachers, specialists, and parents to support student learning and development."
"Special Education Teachers, All Other",Provide one-on-one or small group instruction to help students grasp challenging concepts and skills.
"Special Education Teachers, All Other",Assist students with disabilities in social and emotional skills development and integration into the classroom.
"Special Education Teachers, All Other","Maintain accurate records of student performance and progress, including documentation of IEP meetings and updates."
"Special Education Teachers, All Other",Create a positive and inclusive classroom environment that promotes respect and understanding among all students.
"Special Education Teachers, All Other",Participate in professional development opportunities to stay current with special education practices and laws.
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Develop lesson plans and curricula for adult learners
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Conduct assessments to determine students' learning needs
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach basic literacy, numeracy, and English language skills to adult learners"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Facilitate group discussions and interactive learning activities
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Provide individualized support and tutoring to students as needed
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Create and grade assignments, quizzes, and exams"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Maintain accurate records of student attendance and progress
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Communicate effectively with students regarding their performance and areas for improvement
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Incorporate technology and online resources into lessons when applicable
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Encourage and support students in achieving personal educational goals
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Attend faculty meetings and professional development workshops
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Collaborate with community organizations to promote adult education programs
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Develop and implement strategies to motivate and engage adult learners
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Provide information and resources for further educational opportunities and career pathways
Self-Enrichment Teachers,Develop and organize educational programs and workshops
Self-Enrichment Teachers,Create lesson plans and teaching materials
Self-Enrichment Teachers,Provide individualized instruction to meet the needs of diverse learners
Self-Enrichment Teachers,Assess student progress and provide feedback
Self-Enrichment Teachers,Facilitate group discussions and activities
Self-Enrichment Teachers,Encourage student participation and engagement
Self-Enrichment Teachers,Use various teaching methods and technologies to enhance learning
Self-Enrichment Teachers,Manage classroom dynamics and foster a positive learning environment
Self-Enrichment Teachers,Maintain accurate records of student attendance and performance
Self-Enrichment Teachers,Communicate with students and parents regarding progress and concerns
Self-Enrichment Teachers,Adapt teaching strategies based on student feedback and performance
Self-Enrichment Teachers,Stay updated on educational trends and best practices in self-enrichment
Self-Enrichment Teachers,Promote a love for learning and personal growth among students
Self-Enrichment Teachers,Coordinate with other educators and professionals for interdisciplinary activities
Self-Enrichment Teachers,Evaluate the efficacy of teaching methods and modify approaches as necessary
"Substitute Teachers, Short-Term",Prepare lesson plans based on provided materials and curriculum guidelines.
"Substitute Teachers, Short-Term",Deliver instruction in a clear and engaging manner.
"Substitute Teachers, Short-Term",Manage classroom behavior and maintain a positive learning environment.
"Substitute Teachers, Short-Term",Support students with diverse needs and adapt teaching strategies as needed.
"Substitute Teachers, Short-Term","Provide supervision during lunch, recess, and other non-classroom settings."
"Substitute Teachers, Short-Term",Document attendance and report any incidents or issues to the school administration.
"Substitute Teachers, Short-Term","Communicate effectively with students, faculty, and parents when required."
"Substitute Teachers, Short-Term",Assess and evaluate student performance and provide feedback on assignments when possible.
"Substitute Teachers, Short-Term","Collect and grade assignments, quizzes, and tests as instructed by the primary teacher."
"Substitute Teachers, Short-Term",Help students with administrative tasks such as organizing materials or using school resources.
Tutors,Prepare lesson plans and instructional materials.
Tutors,Assess students' progress and provide feedback.
Tutors,Conduct one-on-one tutoring sessions.
Tutors,Facilitate group tutoring sessions if applicable.
Tutors,Use various teaching methods to accommodate different learning styles.
Tutors,Help students with homework and exam preparation.
Tutors,Set educational goals with students and track their progress.
Tutors,Communicate with parents or guardians about student performance.
Tutors,Maintain a scheduling calendar for tutoring sessions.
Tutors,Stay updated on academic curriculum and teaching strategies.
Tutors,Utilize online platforms for virtual tutoring if required.
Tutors,Assist students in developing study skills and strategies.
Tutors,Evaluate educational resources and recommend appropriate materials.
Tutors,Encourage and motivate students in their academic pursuits.
Tutors,Create a positive and inclusive learning environment.
"Teachers and Instructors, All Other",Prepare lesson plans and instructional materials
"Teachers and Instructors, All Other",Deliver lectures and presentations to students
"Teachers and Instructors, All Other",Assess and evaluate student performance and progress
"Teachers and Instructors, All Other",Provide feedback and support to students
"Teachers and Instructors, All Other",Develop and implement curriculum and educational programs
"Teachers and Instructors, All Other",Adapt teaching methods and materials to meet students' diverse needs
"Teachers and Instructors, All Other",Conduct classroom management and maintain a positive learning environment
"Teachers and Instructors, All Other",Communicate with parents or guardians about student progress and behavior
"Teachers and Instructors, All Other",Collaborate with other educators and staff members
"Teachers and Instructors, All Other",Participate in professional development and training sessions
"Teachers and Instructors, All Other","Create and manage assignments, exams, and grading"
"Teachers and Instructors, All Other",Utilize technology and digital tools for teaching and learning
"Teachers and Instructors, All Other",Organize and supervise extracurricular activities and field trips
"Teachers and Instructors, All Other",Participate in school meetings and administrative duties
Archivists,"Preserve, catalog, and arrange archival materials"
Archivists,Digitize physical records for online accessibility
Archivists,Conduct research to identify and locate records
Archivists,Assist patrons in accessing archival materials
Archivists,Develop and implement preservation strategies
Archivists,Create finding aids and descriptive metadata for collections
Archivists,Organize and store documents and artifacts according to best practices
Archivists,Maintain records management systems and policies
Archivists,Collaborate with other institutions for archival projects
Archivists,Plan and conduct educational programs and workshops
Archivists,Evaluate and prioritize acquisitions of new records and materials
Archivists,Ensure compliance with legal and ethical standards in archiving
Archivists,Respond to inquiries from researchers and the public
Archivists,Manage the physical and digital storage environments
Archivists,Prepare reports on archival collections and activities
Curators,Research and select items for exhibitions
Curators,Evaluate and acquire new collections and artifacts
Curators,Organize and install exhibits in galleries or museums
Curators,Develop educational programs and outreach activities
Curators,Manage collection inventory and documentation
Curators,Interact with artists and donors for collection contributions
Curators,Generate and maintain catalog databases for artworks and artifacts
Curators,Write and edit exhibition texts and promotional materials
Curators,Coordinate with other museum staff for event planning and execution
Curators,Conduct guided tours and public seminars
Curators,Respond to visitor inquiries and provide information about exhibits
Curators,Develop and implement conservation strategies for collection items
Curators,Monitor and enhance visitor experience and engagement
Curators,Utilize digital platforms for virtual exhibits and outreach
Curators,Stay informed about trends in curatorial practices and museum education
Museum Technicians and Conservators,Inspect and assess the condition of artifacts and artworks
Museum Technicians and Conservators,Perform conservation treatments to preserve and restore items
Museum Technicians and Conservators,Conduct thorough documentation of conservation processes and findings
Museum Technicians and Conservators,Maintain detailed records of collection items including provenance and condition reports
Museum Technicians and Conservators,Collaborate with curators and other museum staff on exhibition planning and design
Museum Technicians and Conservators,"Prepare artifacts for display or storage, including cleaning and stabilizing;"
Museum Technicians and Conservators,Research materials and techniques for conservation projects
Museum Technicians and Conservators,Monitor environmental conditions in storage and exhibition spaces to prevent damage
Museum Technicians and Conservators,"Participate in exhibitions by installing, arranging, and maintaining the display of artifacts"
Museum Technicians and Conservators,Communicate with the public during tours or educational events to explain conservation techniques
Museum Technicians and Conservators,Plan and implement preventive conservation strategies to protect collections
Museum Technicians and Conservators,"Utilize various conservation techniques, including chemical, physical, and environmental methods"
Museum Technicians and Conservators,Supervise volunteers or interns assisting in conservation projects
Museum Technicians and Conservators,Stay updated on advancements in conservation science and techniques
Museum Technicians and Conservators,Participate in outreach and educational activities related to conservation and preservation.
Librarians and Media Collections Specialists,Catalog new acquisitions and update existing records in library management systems
Librarians and Media Collections Specialists,Assist patrons in finding and accessing library resources
Librarians and Media Collections Specialists,Maintain organization of physical and digital collections
Librarians and Media Collections Specialists,Plan and conduct programs and events to promote library resources
Librarians and Media Collections Specialists,Provide information literacy instruction and workshops for library users
Librarians and Media Collections Specialists,Collaborate with other staff to develop and implement collection development policies
Librarians and Media Collections Specialists,Evaluate and recommend materials for purchase based on community needs
Librarians and Media Collections Specialists,"Manage and respond to inquiries from patrons through email, phone, and in-person"
Librarians and Media Collections Specialists,Conduct research to support users' information needs
Librarians and Media Collections Specialists,Manage budgets for media collections and library programs
Librarians and Media Collections Specialists,Stay updated on trends in library sciences and media collections
Librarians and Media Collections Specialists,Assist with archiving processes for historical records and local history collections
Librarians and Media Collections Specialists,Develop and maintain relationships with publishers and vendors for resource acquisition
Librarians and Media Collections Specialists,Coordinate interlibrary loan services for patrons
Librarians and Media Collections Specialists,Implement and oversee digitization projects for special collections
Library Technicians,Shelving and organizing library materials
Library Technicians,Checking in and out library materials using automated systems
Library Technicians,Assisting patrons in locating and selecting library resources
Library Technicians,Preparing and processing new library materials for circulation
Library Technicians,Maintaining and updating library catalog and databases
Library Technicians,Providing reference and research assistance to library users
Library Technicians,Assisting with library programs and events
Library Technicians,Conducting basic technical services such as repairs and preservation of library materials
Library Technicians,Training and supervising library assistants or volunteers
Library Technicians,Managing interlibrary loans and requests
Library Technicians,Performing daily opening and closing procedures for the library
Library Technicians,Monitoring library facilities and ensuring a safe and welcoming environment
Library Technicians,Creating and maintaining library displays and promotions
Library Technicians,Assisting in the development of library policies and procedures
Library Technicians,Using library management software to track inventory and usage statistics
Farm and Home Management Educators,Develop and deliver educational programs related to farm and home management
Farm and Home Management Educators,Conduct workshops and training sessions for farmers and families
Farm and Home Management Educators,Assist in creating budgets and financial plans for agricultural operations
Farm and Home Management Educators,"Provide guidance on resource management, including land and labor"
Farm and Home Management Educators,Advise on sustainability practices in agriculture and home management
Farm and Home Management Educators,Facilitate community meetings to discuss challenges and solutions in farming and home life
Farm and Home Management Educators,Research and disseminate information on new agricultural techniques and technologies
Farm and Home Management Educators,Help families navigate government programs and agricultural policies
Farm and Home Management Educators,Organize farm tours and demonstrations for educational purposes
Farm and Home Management Educators,Collaborate with agricultural organizations and extension services to promote best practices
Farm and Home Management Educators,Evaluate the effectiveness of educational programs and adjust as necessary
Farm and Home Management Educators,Create informational materials such as brochures and guides for farmers and families
Farm and Home Management Educators,Stay updated on the latest trends in agriculture and home economics through continued education
Farm and Home Management Educators,Provide one-on-one consulting for specific farming or home management challenges
Farm and Home Management Educators,Assist in disaster preparedness and recovery planning for farms and homes
Instructional Coordinators,Develop and implement instructional materials and programs
Instructional Coordinators,Analyze student performance data to identify areas for improvement
Instructional Coordinators,Collaborate with teachers and education personnel to enhance curriculum standards
Instructional Coordinators,Conduct training sessions and workshops for educators on new teaching methodologies
Instructional Coordinators,Evaluate and select educational resources and technology for classrooms
Instructional Coordinators,Monitor curriculum delivery and ensure compliance with educational standards
Instructional Coordinators,Support and provide guidance to teachers in instructional practices
Instructional Coordinators,Assess the effectiveness of instructional programs through surveys and assessments
Instructional Coordinators,Coordinate with school administrators to align curriculum with educational goals
Instructional Coordinators,Research current trends and best practices in education to inform curriculum development
Instructional Coordinators,"Facilitate communication between various educational stakeholders including parents, students, and staff"
Instructional Coordinators,Prepare reports on curriculum outcomes and instructional effectiveness
Instructional Coordinators,Engage in continuous professional development to stay current in the field of education
Instructional Coordinators,Assist in budget development for instructional materials and professional development initiatives
"Teaching Assistants, Postsecondary",Assist professors in instructional activities
"Teaching Assistants, Postsecondary",Prepare and organize instructional materials
"Teaching Assistants, Postsecondary",Conduct laboratory or discussion sessions
"Teaching Assistants, Postsecondary","Grade assignments, exams, and projects"
"Teaching Assistants, Postsecondary",Provide individual or group tutoring to students
"Teaching Assistants, Postsecondary",Hold office hours for student questions and support
"Teaching Assistants, Postsecondary",Assist in curriculum development and course planning
"Teaching Assistants, Postsecondary",Manage classroom or laboratory equipment and materials
"Teaching Assistants, Postsecondary",Assist in research projects or activities
"Teaching Assistants, Postsecondary",Communicate with students via email or online platforms
"Teaching Assistants, Postsecondary",Facilitate small group discussions and engage students in learning
"Teaching Assistants, Postsecondary",Conduct review sessions before exams
"Teaching Assistants, Postsecondary",Help with administrative tasks such as record keeping and attendance
"Teaching Assistants, Postsecondary",Support students with disabilities by providing necessary accommodations
"Teaching Assistants, Postsecondary",Participate in departmental meetings and professional development workshops
"Teaching Assistants, Except Postsecondary",Assist lead teachers in preparing lesson plans and instructional materials
"Teaching Assistants, Except Postsecondary",Support students with their learning activities and homework
"Teaching Assistants, Except Postsecondary",Conduct small group or one-on-one tutoring sessions
"Teaching Assistants, Except Postsecondary","Supervise students during class, lunch, and recess"
"Teaching Assistants, Except Postsecondary",Help manage classroom behavior and maintain a positive learning environment
"Teaching Assistants, Except Postsecondary",Prepare and organize classroom resources and materials for teaching
"Teaching Assistants, Except Postsecondary",Grade assignments and provide feedback to students on their work
"Teaching Assistants, Except Postsecondary",Assist in the development of educational games and activities
"Teaching Assistants, Except Postsecondary",Monitor student progress and report observations to teachers
"Teaching Assistants, Except Postsecondary",Help set up and clean up classroom equipment and supplies
"Teaching Assistants, Except Postsecondary",Communicate with parents or guardians about student progress and needs
"Teaching Assistants, Except Postsecondary",Attend and participate in staff meetings and professional development workshops
"Teaching Assistants, Except Postsecondary",Assist with administrative tasks such as maintaining attendance records and filing documents
"Teaching Assistants, Except Postsecondary",Facilitate communication between students and teachers as needed
"Teaching Assistants, Except Postsecondary",Use technology to support instructional activities and student assessments
"Educational Instruction and Library Workers, All Other",Develop and implement educational programs and workshops
"Educational Instruction and Library Workers, All Other",Provide guidance and support to students in using library resources
"Educational Instruction and Library Workers, All Other",Evaluate and select educational materials and resources
"Educational Instruction and Library Workers, All Other",Assist in the cataloging and organization of library materials
"Educational Instruction and Library Workers, All Other",Conduct outreach activities to promote library services and programs
"Educational Instruction and Library Workers, All Other",Collaborate with teachers and other educational staff to enhance learning opportunities
"Educational Instruction and Library Workers, All Other",Maintain and update library collections and cataloging systems
"Educational Instruction and Library Workers, All Other",Offer tutoring or specialized instruction in various subjects
"Educational Instruction and Library Workers, All Other",Plan and execute events or programs to engage the community
"Educational Instruction and Library Workers, All Other",Assist patrons with research and information literacy skills
"Educational Instruction and Library Workers, All Other",Develop online resources and tools for student support
"Educational Instruction and Library Workers, All Other",Manage budgets and resources for educational programming
"Educational Instruction and Library Workers, All Other",Participate in professional development and continuing education
"Educational Instruction and Library Workers, All Other",Implement technology in educational delivery and library services
"Educational Instruction and Library Workers, All Other",Conduct assessments to measure the effectiveness of educational programs
Art Directors,Conceptualize and develop visual designs for projects
Art Directors,Collaborate with clients to understand their aesthetic preferences and project goals
Art Directors,Create and present design proposals and mock-ups
Art Directors,Lead and supervise a team of designers and artists
Art Directors,Ensure the quality and consistency of visual outputs
Art Directors,Review designs and provide constructive feedback to team members
Art Directors,Stay updated with industry trends and techniques
Art Directors,"Select colors, images, typography, and layouts that best represent the project"
Art Directors,Manage project timelines and budgets
Art Directors,"Coordinate with photographers, illustrators, and other creative professionals"
Art Directors,Attend client meetings to discuss project progress and updates
Art Directors,Oversee production processes and make necessary adjustments
Craft Artists,"Design and create original artworks using various materials such as clay, metal, wood, glass, or textiles."
Craft Artists,Experiment with different techniques and styles to develop unique artistic expressions.
Craft Artists,Participate in art exhibitions and craft fairs to showcase and sell creations.
Craft Artists,Manage inventory of materials and supplies needed for crafting.
Craft Artists,"Market and promote artwork through social media, personal websites, and local galleries."
Craft Artists,Collaborate with other artists or participate in workshops and community projects.
Craft Artists,Teach craft workshops or classes to share skills and techniques with others.
Craft Artists,Conduct research on current trends in the craft and design market.
Craft Artists,Maintain a clean and organized workspace to foster creativity and productivity.
Craft Artists,"Handle customer inquiries and sales transactions, either in-person or online."
Special Effects Artists and Animators,Collaborate with directors and producers to understand the vision for visual effects in a project.
Special Effects Artists and Animators,Create detailed concept art and storyboards for special effects scenes.
Special Effects Artists and Animators,"Use software such as Adobe After Effects, Autodesk Maya, and Blender to design and create visual effects."
