occupation_title,task,rating
"Social Scientists and Related Workers, All Other",Design surveys and questionnaires to gather information,3
"Social Scientists and Related Workers, All Other",Publish findings in academic journals or reports,2
"Social Scientists and Related Workers, All Other",Present research findings at conferences and seminars,2
"Social Scientists and Related Workers, All Other",Collaborate with other researchers or professionals in related fields,2
"Social Scientists and Related Workers, All Other",Stay updated on current trends and developments in social science,2
"Social Scientists and Related Workers, All Other",Assist in the development of policies or programs based on research findings,3
"Social Scientists and Related Workers, All Other",Engage with community organizations to apply research in practical settings,1
"Social Scientists and Related Workers, All Other",Teach courses or workshops related to social science topics,2
"Social Scientists and Related Workers, All Other",Provide expert consultations or advice to governmental and non-governmental agencies,2
Agricultural Technicians,"Assist in the planting, cultivation, and harvesting of crops.",1
Agricultural Technicians,Operate and maintain agricultural equipment and machinery.,1
Agricultural Technicians,Conduct soil tests and analyze results to determine nutrient requirements.,3
Agricultural Technicians,"Monitor crop growth and health, identifying pests and diseases.",3
Agricultural Technicians,"Collect data on crop yields, soil conditions, and weather patterns.",3
Agricultural Technicians,Assist in the development of agricultural research experiments.,3
Agricultural Technicians,Prepare and record detailed reports on farming practices and outcomes.,3
Agricultural Technicians,"Advise farmers on best practices for crop rotation, irrigation, and pest management.",3
Agricultural Technicians,Conduct trials for new crop varieties and agricultural chemicals.,3
Agricultural Technicians,Collaborate with agronomists and scientists on research and development projects.,3
Biological Technicians,Conduct experiments and analyses in laboratories to support biological and medical scientists,3
Biological Technicians,Prepare and maintain laboratory equipment and instruments,1
Biological Technicians,"Collect biological samples, such as blood, urine, or tissue, for testing",1
Biological Technicians,Perform quality control checks on laboratory tests to ensure accuracy,3
Biological Technicians,Record and analyze data from experiments and tests,4
Biological Technicians,Assist in the development of new biological products and processes,3
Biological Technicians,Follow safety protocols and maintain cleanliness in the laboratory,1
Biological Technicians,Collaborate with scientists and researchers to plan experiments and interpret results,2
Biological Technicians,Document findings in reports and scientific papers,4
Biological Technicians,Stay updated on the latest research and advancements in biological sciences,2
Chemical Technicians,Prepare chemical solutions and reagents for experiments and analyses.,2
Chemical Technicians,Conduct experiments following standard procedures and safety protocols.,1
Chemical Technicians,"Operate laboratory equipment such as spectrometers, chromatographs, and mixers.",1
Chemical Technicians,Monitor and record data from experiments and tests with precision.,3
Chemical Technicians,Analyze laboratory results using various techniques and software.,4
Chemical Technicians,Maintain a clean and organized laboratory environment.,1
Chemical Technicians,Calibrate and maintain laboratory instruments and apparatus.,1
Chemical Technicians,Assist in the development of new products or processes in collaboration with scientists and engineers.,3
Chemical Technicians,Prepare and compile technical reports and documentation for findings.,3
Chemical Technicians,"Ensure compliance with safety, health, and environmental regulations.",2
Chemical Technicians,Waste management and disposal of hazardous materials according to regulations.,1
Chemical Technicians,Collaborate with team members to troubleshoot experiments and instrumentation issues.,2
"Environmental Science and Protection Technicians, Including Health","Collect and analyze environmental samples, such as air, water, and soil.",3
"Environmental Science and Protection Technicians, Including Health",Monitor environmental pollution levels and identify potential contaminants.,3
"Environmental Science and Protection Technicians, Including Health",Conduct field surveys and gather data regarding environmental conditions.,1
"Environmental Science and Protection Technicians, Including Health",Perform routine inspections of facilities to ensure compliance with environmental regulations.,2
"Environmental Science and Protection Technicians, Including Health",Assist in the preparation of reports and documentation regarding environmental assessments and findings.,4
"Environmental Science and Protection Technicians, Including Health",Maintain and calibrate scientific instruments and equipment used for testing and analysis.,3
"Environmental Science and Protection Technicians, Including Health","Collaborate with scientists, engineers, and other professionals to develop solutions to environmental problems.",2
"Environmental Science and Protection Technicians, Including Health",Educate the public and stakeholders about environmental issues and best practices for protection.,2
"Environmental Science and Protection Technicians, Including Health",Participate in environmental impact assessments and studies.,3
"Environmental Science and Protection Technicians, Including Health",Implement remediation plans for contaminated sites under supervision.,2
"Geological Technicians, Except Hydrologic Technicians","Assist geologists in collecting and analyzing geological samples such as soil, rock, and minerals.",1
"Geological Technicians, Except Hydrologic Technicians",Operate geophysical and geologic laboratory equipment to conduct experiments and tests on samples.,3
"Geological Technicians, Except Hydrologic Technicians","Prepare and maintain geological maps, charts, and reports based on findings and observations.",4
"Geological Technicians, Except Hydrologic Technicians","Perform fieldwork, including surveying and sampling, to gather geological data from various locations.",1
"Geological Technicians, Except Hydrologic Technicians",Record and log data accurately from tests and fieldwork into databases and computer systems.,4
"Geological Technicians, Except Hydrologic Technicians",Collaborate with engineers and other scientists to interpret geological data for construction projects or environmental assessments.,3
"Geological Technicians, Except Hydrologic Technicians",Ensure compliance with safety protocols during fieldwork and lab operations for both individuals and the environment.,1
"Geological Technicians, Except Hydrologic Technicians",Prepare presentations or summaries of research findings for stakeholders or team meetings.,3
"Geological Technicians, Except Hydrologic Technicians",Assist in the development and implementation of research projects related to geological phenomena.,3
"Geological Technicians, Except Hydrologic Technicians","Monitor and maintain equipment, ensuring it is calibrated and in good working order for accurate data collection.",2
Nuclear Technicians,Monitor and evaluate processes and equipment to ensure safety standards are met.,2
Nuclear Technicians,Conduct inspections of nuclear systems to ensure they are functioning correctly.,1
Nuclear Technicians,Assist in the operation of nuclear energy facilities.,1
Nuclear Technicians,Collect and analyze data from reactors and radiation sources.,4
Nuclear Technicians,Implement safety procedures to prevent exposure to radiation.,1
Nuclear Technicians,Maintain and repair equipment used in nuclear generation and research.,1
Nuclear Technicians,Record data on operational and safety performance for reporting purposes.,3
Nuclear Technicians,Conduct radiation surveys and measurements in various settings.,1
Nuclear Technicians,Assist in the development and implementation of safety training programs.,2
Nuclear Technicians,Work collaboratively with engineers and scientists on experiments and projects.,2
Forest and Conservation Technicians,Assist in managing forest resources and conservation initiatives,2
Forest and Conservation Technicians,"Conduct surveys and gather data on forest health, wildlife populations, and vegetation",2
Forest and Conservation Technicians,Use GPS and mapping software to document forest conditions and land use,4
Forest and Conservation Technicians,Monitor environmental conditions and report findings to supervisors,3
Forest and Conservation Technicians,Participate in timber sales and reforestation activities,2
Forest and Conservation Technicians,Implement soil and water conservation practices,1
Forest and Conservation Technicians,Perform field inspections of ecosystem restoration efforts,1
Forest and Conservation Technicians,Collaborate with scientists and other professionals on conservation research,2
Forest and Conservation Technicians,Educate the public and stakeholders about forest and conservation issues,2
Forest and Conservation Technicians,Prepare reports and maintain records of field observations and analysis,4
Forest and Conservation Technicians,Help design and implement conservation projects,3
Forest and Conservation Technicians,Clean and maintain equipment used in fieldwork,1
Forest and Conservation Technicians,Participate in community outreach programs to promote conservation awareness,2
Forest and Conservation Technicians,Assist in habitat restoration activities,1
Forest and Conservation Technicians,Support fire management activities by assessing fire hazards and establishing fire breaks,1
Forensic Science Technicians,Collecting physical evidence from crime scenes,1
Forensic Science Technicians,Documenting crime scenes through photographs and sketches,1
Forensic Science Technicians,Preserving evidence for laboratory analysis,1
Forensic Science Technicians,Conducting preliminary field tests on substances,2
Forensic Science Technicians,"Processing and analyzing forensic samples such as blood, hair, or fingerprints",2
Forensic Science Technicians,Preparing detailed reports of findings for law enforcement agencies,4
Forensic Science Technicians,Testifying in court as an expert witness regarding forensic analysis,1
Forensic Science Technicians,Maintaining and calibrating laboratory equipment,2
Forensic Science Technicians,Staying updated on forensic science advancements and best practices,3
Forensic Science Technicians,Collaborating with law enforcement officials and other forensic specialists,2
Forensic Science Technicians,Following legal protocols for evidence handling and chain of custody,1
"Life, Physical, and Social Science Technicians, All Other",Assist scientists in conducting experiments and research in various scientific fields.,2
"Life, Physical, and Social Science Technicians, All Other","Collect, analyze, and interpret data from experiments and studies.",3
"Life, Physical, and Social Science Technicians, All Other",Maintain laboratory equipment and ensure it is functioning properly.,2
"Life, Physical, and Social Science Technicians, All Other","Prepare and label samples for testing, including biological, chemical, or physical samples.",2
"Life, Physical, and Social Science Technicians, All Other","Document experimental procedures, results, and observations accurately in lab notebooks or electronic systems.",3
"Life, Physical, and Social Science Technicians, All Other",Provide technical support for research projects or scientific investigations.,3
"Life, Physical, and Social Science Technicians, All Other",Conduct routine maintenance and calibration of laboratory instruments.,2
"Life, Physical, and Social Science Technicians, All Other",Ensure compliance with safety regulations and guidelines in the lab environment.,1
"Life, Physical, and Social Science Technicians, All Other",Assist in the development of new testing methods or procedures.,3
"Life, Physical, and Social Science Technicians, All Other",Engage in the preparation of reports and presentations summarizing research findings.,4
"Life, Physical, and Social Science Technicians, All Other",Collaborate with other technicians and scientists to solve complex technical problems.,3
"Life, Physical, and Social Science Technicians, All Other",Participate in training and development sessions to enhance technical and scientific knowledge.,1
Occupational Health and Safety Specialists,Conduct workplace inspections to identify potential hazards.,2
Occupational Health and Safety Specialists,Develop and implement safety policies and procedures.,3
Occupational Health and Safety Specialists,Review and analyze incident reports and safety data.,4
Occupational Health and Safety Specialists,Provide training and education to employees on safety practices.,2
Occupational Health and Safety Specialists,Conduct risk assessments to evaluate workplace safety.,3
Occupational Health and Safety Specialists,Prepare safety documentation and reports for compliance purposes.,3
Occupational Health and Safety Specialists,Coordinate safety drills and emergency response procedures.,1
Occupational Health and Safety Specialists,Advise management on safety regulations and compliance issues.,3
Occupational Health and Safety Specialists,Monitor and report on safety performance metrics.,3
Occupational Health and Safety Specialists,Investigate accidents and incidents to determine root causes.,2
Occupational Health and Safety Specialists,Collaborate with other departments to improve workplace safety.,2
Occupational Health and Safety Specialists,Stay updated on safety legislation and industry standards.,3
Occupational Health and Safety Technicians,Conduct workplace inspections to identify hazards and unsafe practices.,1
Occupational Health and Safety Technicians,Evaluate working conditions and recommend safety measures.,2
Occupational Health and Safety Technicians,Monitor compliance with safety regulations and standards.,3
Occupational Health and Safety Technicians,Collect and analyze data related to workplace injuries and incidents.,3
Occupational Health and Safety Technicians,Assist in developing and implementing safety policies and programs.,3
Occupational Health and Safety Technicians,Provide training and education to employees on health and safety procedures.,2
Occupational Health and Safety Technicians,Prepare health and safety reports and documentation for regulatory compliance.,3
Occupational Health and Safety Technicians,Conduct risk assessments for various work environments and processes.,3
Occupational Health and Safety Technicians,Collaborate with management to improve workplace safety culture.,2
Occupational Health and Safety Technicians,Investigate accidents and incidents to determine root causes and preventive measures.,2
"Educational, Guidance, and Career Counselors and Advisors","Conduct individual and group counseling sessions to provide guidance on academic, personal, and career-related issues.",2
"Educational, Guidance, and Career Counselors and Advisors",Develop and implement educational and career plans tailored to students' goals and interests.,3
"Educational, Guidance, and Career Counselors and Advisors",Assist students with course selection and understanding degree requirements.,3
"Educational, Guidance, and Career Counselors and Advisors","Provide resources and information about colleges, vocational schools, and job opportunities.",3
"Educational, Guidance, and Career Counselors and Advisors","Help students identify their strengths, weaknesses, and interests to help them make informed decisions.",3
"Educational, Guidance, and Career Counselors and Advisors","Organize workshops and seminars on topics such as resume writing, job interviews, and networking skills.",2
"Educational, Guidance, and Career Counselors and Advisors",Maintain accurate and confidential records of student interactions and progress.,3
"Educational, Guidance, and Career Counselors and Advisors","Collaborate with teachers, parents, and other professionals to support students' needs.",1
"Educational, Guidance, and Career Counselors and Advisors",Monitor students' academic progress and intervene when necessary to keep them on track.,3
"Educational, Guidance, and Career Counselors and Advisors","Stay updated on employment trends, educational programs, and community resources that support student development.",3
Marriage and Family Therapists,"Conduct individual, couples, and family therapy sessions to address mental health issues.",1
Marriage and Family Therapists,Assess clients' needs and develop appropriate treatment plans.,2
Marriage and Family Therapists,Maintain accurate and confidential client records and documentation.,3
Marriage and Family Therapists,Provide crisis intervention and support as needed.,1
Marriage and Family Therapists,Facilitate group therapy sessions for families or individuals.,1
Marriage and Family Therapists,"Educate clients about mental health, relationships, and coping strategies.",2
Marriage and Family Therapists,Work collaboratively with other health professionals as part of a care team.,2
Marriage and Family Therapists,Stay informed about current research and best practices in marriage and family therapy.,4
Marriage and Family Therapists,Help clients set goals for therapy and encourage progress towards these goals.,1
Marriage and Family Therapists,Evaluate the effectiveness of treatment and make necessary adjustments.,2
Marriage and Family Therapists,Maintain professional licensing and continuing education requirements.,2
Rehabilitation Counselors,"Conduct assessments to evaluate clients' interests, abilities, and needs",3
Rehabilitation Counselors,Develop individualized rehabilitation plans for clients,2
Rehabilitation Counselors,"Provide counseling services to clients to help them adjust to physical, emotional, or mental disabilities",1
Rehabilitation Counselors,Assist clients in setting and achieving personal and vocational goals,2
Rehabilitation Counselors,"Advise clients on job search strategies, career planning, and educational opportunities",4
Rehabilitation Counselors,Monitor clients' progress and modify rehabilitation plans as necessary,2
Rehabilitation Counselors,"Coordinate with medical professionals, social workers, and other service providers",2
Rehabilitation Counselors,Facilitate group therapy sessions and support groups,1
Rehabilitation Counselors,Educate clients and families about disabilities and resources available,2
Rehabilitation Counselors,Ensure compliance with legal and ethical standards in rehabilitation practices,1
Rehabilitation Counselors,Document client progress and maintain accurate records,3
Rehabilitation Counselors,Stay informed about developments in rehabilitation technology and techniques,3
Rehabilitation Counselors,Advocate for clients to secure necessary services and accommodations,2
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Conduct individual and group counseling sessions to address mental health and substance abuse issues.,1
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Assess clients' mental health and substance use conditions by conducting interviews and administering standardized questionnaires.,2
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","Develop, implement, and monitor personalized treatment plans for clients based on their specific needs and goals.",2
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Provide crisis intervention and support during emergencies or acute episodes.,1
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Maintain accurate and timely records of client progress and treatment outcomes in compliance with confidentiality regulations.,2
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","Collaborate with other healthcare professionals, including doctors, psychologists, and social workers, to ensure comprehensive care.",2
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","Educate clients and their families about mental health, substance use disorders, and coping strategies.",1
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Facilitate support groups and workshops to promote recovery and skill-building among clients.,1
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Maintain knowledge of community resources and make referrals as necessary for additional support services.,2
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Participate in ongoing training and professional development to stay current with best practices in counseling and treatment methodologies.,1
"Child, Family, and School Social Workers",Conduct assessments of clients to determine needs and eligibility for services.,2
"Child, Family, and School Social Workers",Develop and implement individualized service plans for clients and their families.,2
"Child, Family, and School Social Workers","Provide counseling and support to children and families to help cope with issues such as abuse, neglect, or family conflict.",1
"Child, Family, and School Social Workers","Collaborate with schools, healthcare providers, and community organizations to secure resources for clients.",2
"Child, Family, and School Social Workers",Advocate for clients' rights and access to needed services or benefits.,2
"Child, Family, and School Social Workers",Monitor client progress and modify service plans as necessary.,2
"Child, Family, and School Social Workers",Maintain detailed and accurate records of client interactions and case notes.,3
"Child, Family, and School Social Workers","Attend meetings, trainings, and workshops to improve skills and stay informed about resources and legislation.",2
"Child, Family, and School Social Workers",Educate clients about available services and community resources to address their needs.,2
"Child, Family, and School Social Workers",Provide crisis intervention and support to families in immediate need.,1
"Child, Family, and School Social Workers",Conduct home visits to assess living conditions and family dynamics.,1
"Child, Family, and School Social Workers",Engage in conflict mediation and resolution between family members.,1
"Child, Family, and School Social Workers",Facilitate support groups for parents and children.,1
"Child, Family, and School Social Workers",Report suspected cases of abuse or neglect to the appropriate authorities.,1
"Child, Family, and School Social Workers",Follow up with clients to ensure they are receiving necessary services and support.,2
Healthcare Social Workers,Assess clients' needs and situations,2
Healthcare Social Workers,Develop treatment plans in collaboration with clients and other professionals,2
Healthcare Social Workers,Provide counseling and support to clients and their families,1
Healthcare Social Workers,"Connect clients with resources and services such as housing, financial assistance, and medical care",2
Healthcare Social Workers,Advocate for clients' needs and rights,2
Healthcare Social Workers,Document client progress and treatment outcomes,3
Healthcare Social Workers,Attend meetings with healthcare providers and social service agencies,1
Healthcare Social Workers,Educate clients about their rights and available services,2
Healthcare Social Workers,Conduct interviews and assessments to evaluate clients' social and emotional well-being,2
Healthcare Social Workers,Maintain confidentiality and follow ethical guidelines,1
Healthcare Social Workers,Participate in continuing education to stay current in the field,1
Healthcare Social Workers,Guide clients through the healthcare system and help them navigate complex processes,2
Healthcare Social Workers,Facilitate support groups or workshops,1
Healthcare Social Workers,Provide crisis intervention when necessary,1
Healthcare Social Workers,Monitor client progress and adjust treatment plans as needed,3
Mental Health and Substance Abuse Social Workers,Conduct intake assessments and interviews with clients to identify needs and issues,1
Mental Health and Substance Abuse Social Workers,Develop and implement treatment plans tailored to each client's unique situation,2
Mental Health and Substance Abuse Social Workers,"Provide individual, group, and family therapy sessions",1
Mental Health and Substance Abuse Social Workers,Facilitate support groups for individuals recovering from addiction or dealing with mental health issues,1
Mental Health and Substance Abuse Social Workers,"Assist clients in accessing community resources, including health services, housing, and financial support",2
Mental Health and Substance Abuse Social Workers,Monitor client progress and adjust treatment plans as necessary,3
Mental Health and Substance Abuse Social Workers,Maintain accurate and confidential client records,3
Mental Health and Substance Abuse Social Workers,Provide crisis intervention as needed,1
Mental Health and Substance Abuse Social Workers,Advocate for clients to ensure they receive necessary services and support,2
Mental Health and Substance Abuse Social Workers,Collaborate with other healthcare professionals and community organizations,1
Mental Health and Substance Abuse Social Workers,Educate clients and families about mental health and substance abuse issues,2
Mental Health and Substance Abuse Social Workers,Stay updated on best practices and legal regulations related to mental health and substance abuse treatment,3
Mental Health and Substance Abuse Social Workers,Participate in ongoing professional development and training,1
Mental Health and Substance Abuse Social Workers,Document all client interactions and treatment outcomes,3
Mental Health and Substance Abuse Social Workers,Prepare reports for funding sources or legal proceedings when necessary,2
"Social Workers, All Other",Conduct assessments to determine client needs and support requirements.,2
"Social Workers, All Other",Develop and implement service plans tailored to individual clients.,2
"Social Workers, All Other",Provide counseling and support to clients in crisis situations.,1
"Social Workers, All Other",Assist clients in accessing community resources and services.,2
"Social Workers, All Other",Advocate for clients' rights and needs both in and out of the agency.,1
"Social Workers, All Other",Maintain detailed and accurate case records and documentation.,2
"Social Workers, All Other",Coordinate with other service providers and agencies to ensure comprehensive care.,2
"Social Workers, All Other",Monitor client progress and adjust service plans as needed.,2
"Social Workers, All Other",Educate clients and their families about their rights and available resources.,2
"Social Workers, All Other",Facilitate workshops and support groups to promote skill development.,1
"Social Workers, All Other","Stay informed about changes in laws, regulations, and community resources that affect clients.",3
"Social Workers, All Other",Participate in team meetings and professional development opportunities.,1
Health Education Specialists,Develop and implement health education programs and campaigns,3
Health Education Specialists,Conduct community assessments to identify health needs,2
Health Education Specialists,"Create educational materials such as pamphlets, brochures, and presentations",3
Health Education Specialists,Conduct workshops and training sessions on health topics,2
Health Education Specialists,Coordinate with healthcare professionals and organizations to promote health initiatives,2
Health Education Specialists,Evaluate the effectiveness of health education programs and make necessary adjustments,3
Health Education Specialists,Provide one-on-one or group counseling on health-related issues,1
Health Education Specialists,Facilitate health screenings and assessments,1
Health Education Specialists,Maintain accurate records and documentation of health education activities,3
Health Education Specialists,Research current health trends and issues to inform program development,4
Health Education Specialists,Collaborate with other professionals to advocate for health policies and resources,2
Health Education Specialists,Attend meetings and conferences to stay informed about advancements in health education,1
Health Education Specialists,Utilize social media and digital platforms to disseminate health information and resources,4
Health Education Specialists,Assist in grant writing and funding proposals for health programs,3
Health Education Specialists,Engage with the community to promote awareness and participation in health initiatives,2
Probation Officers and Correctional Treatment Specialists,Conduct intake interviews with offenders to assess their needs and risks.,2
Probation Officers and Correctional Treatment Specialists,Develop case plans based on assessment results and collaborate with other professionals.,3
Probation Officers and Correctional Treatment Specialists,Monitor offenders’ compliance with the terms of their probation or parole.,2
Probation Officers and Correctional Treatment Specialists,Schedule and conduct regular meetings with clients to provide support and guidance.,1
Probation Officers and Correctional Treatment Specialists,Provide crisis intervention and assistance in resolving conflicts or issues.,1
Probation Officers and Correctional Treatment Specialists,Notify the court or relevant authorities of any breaches of probation conditions.,2
Probation Officers and Correctional Treatment Specialists,Prepare detailed reports on client progress and compliance for court review.,3
Probation Officers and Correctional Treatment Specialists,"Facilitate access to rehabilitation programs, job training, and educational resources for offenders.",3
Probation Officers and Correctional Treatment Specialists,"Coordinate with social service agencies, treatment facilities, and community organizations.",2
Probation Officers and Correctional Treatment Specialists,Conduct home visits and community supervision as needed.,1
Probation Officers and Correctional Treatment Specialists,Maintain detailed records and documentation of interactions and case management activities.,3
Probation Officers and Correctional Treatment Specialists,Testify in court regarding offender progress and compliance.,1
Probation Officers and Correctional Treatment Specialists,Participate in continuing education and training to stay updated on best practices and legal requirements.,2
Social and Human Service Assistants,Assist clients in accessing social services and community resources,2
Social and Human Service Assistants,Conduct intake interviews to assess clients' needs and eligibility for services,2
Social and Human Service Assistants,Develop and maintain supportive and trusting relationships with clients,1
Social and Human Service Assistants,Provide information about and referrals to community resources,3
Social and Human Service Assistants,Assist clients with paperwork and applications for social services,3
Social and Human Service Assistants,"Work collaboratively with social workers, healthcare providers, and other professionals",2
Social and Human Service Assistants,Help clients set goals and develop action plans for achieving them,2
Social and Human Service Assistants,Monitor clients' progress toward goals and adjust plans as needed,3
Social and Human Service Assistants,Conduct follow-up evaluations to track client outcomes,3
Social and Human Service Assistants,Maintain accurate and confidential client records and documentation,3
Social and Human Service Assistants,Participate in case conferences and team meetings,1
Social and Human Service Assistants,Educate clients on their rights and available services,2
Social and Human Service Assistants,Facilitate support groups and workshops for clients,1
Social and Human Service Assistants,Organize and coordinate community outreach programs and events,2
Social and Human Service Assistants,Provide crisis intervention and support as needed,1
Social and Human Service Assistants,Advocate for clients to ensure their needs are met,2
Social and Human Service Assistants,Stay informed about social service programs and policies,3
Social and Human Service Assistants,Participate in ongoing training and professional development,1
Community Health Workers,Conduct outreach to community members to promote health programs and services,2
Community Health Workers,Provide health education and information to individuals and groups,2
Community Health Workers,Assist clients in accessing healthcare services and resources,2
Community Health Workers,Facilitate connections between clients and social services,2
Community Health Workers,Conduct needs assessments and surveys in the community,2
Community Health Workers,Advocate for individuals and communities to access healthcare and social services,1
Community Health Workers,Help clients understand and follow treatment plans and medical advice,2
Community Health Workers,Coordinate and participate in community health events and workshops,2
Community Health Workers,Update and maintain client records and case notes,3
Community Health Workers,"Collaborate with healthcare providers, social workers, and other community organizations",2
Community Health Workers,Assist in the design and implementation of health promotion campaigns,3
Community Health Workers,Monitor and evaluate the impact of health programs,3
Community Health Workers,Provide translation services and cultural mediation for clients when needed,2
Community Health Workers,Participate in training and professional development to enhance skills,1
"Community and Social Service Specialists, All Other",Assess the needs of individuals and families in the community.,2
"Community and Social Service Specialists, All Other",Provide counseling and support to clients facing various challenges.,2
"Community and Social Service Specialists, All Other",Develop and implement community programs to promote social welfare.,2
"Community and Social Service Specialists, All Other",Coordinate services and resources among community organizations.,3
"Community and Social Service Specialists, All Other",Maintain records of client interactions and progress.,3
"Community and Social Service Specialists, All Other",Conduct outreach activities to engage underserved populations.,2
"Community and Social Service Specialists, All Other",Evaluate the effectiveness of programs and services offered.,3
"Community and Social Service Specialists, All Other",Collaborate with other social service agencies to improve resource access.,2
"Community and Social Service Specialists, All Other",Advocate for policy changes that benefit clients and the community.,2
"Community and Social Service Specialists, All Other",Conduct workshops or seminars to educate the public on social issues.,2
Clergy,Conduct religious services and ceremonies,1
Clergy,Deliver sermons or homilies,1
Clergy,Provide spiritual guidance and counseling to congregants,1
Clergy,"Administer sacraments or rites such as baptisms, weddings, and funerals",1
Clergy,"Visit members of the congregation in hospitals, homes, or other facilities",1
Clergy,Lead prayer sessions or prayer groups,1
Clergy,Organize and oversee religious education programs,2
Clergy,Participate in community outreach and social service programs,1
Clergy,Manage church administration and attend meetings,2
Clergy,Coordinate with church staff and volunteers,2
Clergy,Provide support for church events and activities,1
Clergy,Engage in interfaith dialogue and community relations,1
Clergy,"Maintain accurate records of services, attendance, and donations",4
"Directors, Religious Activities and Education",Develop and oversee educational programs and activities for religious community members.,2
"Directors, Religious Activities and Education","Plan and organize religious services, ceremonies, and events.",1
"Directors, Religious Activities and Education",Provide spiritual guidance and counseling to individuals and groups.,1
"Directors, Religious Activities and Education",Collaborate with other religious leaders and organizations to promote interfaith activities.,1
"Directors, Religious Activities and Education",Manage budgets and resources for educational and religious programs.,3
"Directors, Religious Activities and Education","Recruit, train, and mentor volunteers and staff involved in religious education and activities.",2
"Directors, Religious Activities and Education","Evaluate and assess the effectiveness of programs and events, making improvements as necessary.",2
"Directors, Religious Activities and Education","Maintain communication with community members through newsletters, social media, and announcements.",3
"Directors, Religious Activities and Education",Ensure compliance with legal and ethical standards for religious organizations.,2
"Directors, Religious Activities and Education",Participate in community outreach efforts to promote religious education and engagement.,1
Lawyers,Research legal precedents and case law relevant to ongoing cases,3
Lawyers,"Draft legal documents, including contracts, pleadings, and briefs",4
Lawyers,Prepare for and conduct client meetings to discuss case details and strategy,1
Lawyers,Represent clients in court proceedings and hearings,1
Lawyers,Negotiate settlements on behalf of clients,3
Lawyers,Review and analyze legal materials and documents,4
Lawyers,Advise clients on legal rights and obligations,2
Lawyers,Develop case strategies based on facts and legal analysis,2
Lawyers,File necessary documents with courts and government agencies,2
Lawyers,Maintain communication with clients regarding case progress,2
Lawyers,"Collaborate with other legal professionals, including paralegals and assistants",1
Lawyers,Stay updated on changes in laws and regulations that may affect clients,3
Lawyers,Attend legal seminars and continue legal education for professional development,1
Lawyers,"Manage administrative tasks including billing, scheduling, and case file organization",4
"Administrative Law Judges, Adjudicators, and Hearing Officers",Review case files and relevant documentation before hearings,3
"Administrative Law Judges, Adjudicators, and Hearing Officers",Conduct hearings in a fair and impartial manner,1
"Administrative Law Judges, Adjudicators, and Hearing Officers",Establish rules of procedure for the hearing process,2
"Administrative Law Judges, Adjudicators, and Hearing Officers",Evaluate and cross-examine witnesses,1
"Administrative Law Judges, Adjudicators, and Hearing Officers",Assess evidence presented by parties involved in the case,2
"Administrative Law Judges, Adjudicators, and Hearing Officers","Make determinations based on laws, regulations, and facts presented",1
"Administrative Law Judges, Adjudicators, and Hearing Officers",Draft clear and detailed written decisions or opinions,4
"Administrative Law Judges, Adjudicators, and Hearing Officers",Explain legal reasoning and conclusions in decisions,1
"Administrative Law Judges, Adjudicators, and Hearing Officers",Prepare and maintain accurate case records and administrative logs,3
"Administrative Law Judges, Adjudicators, and Hearing Officers",Conduct research on legal precedents and relevant statutes,4
"Administrative Law Judges, Adjudicators, and Hearing Officers",Communicate with attorneys and parties regarding procedural matters,3
"Administrative Law Judges, Adjudicators, and Hearing Officers",Participate in continuing education to stay updated on legal changes,2
"Administrative Law Judges, Adjudicators, and Hearing Officers",Conduct pre-hearing conferences to manage case processes,1
"Administrative Law Judges, Adjudicators, and Hearing Officers",Issue subpoenas for necessary evidence or witnesses,1
"Administrative Law Judges, Adjudicators, and Hearing Officers",Facilitate settlement discussions or alternative dispute resolution when applicable,3
"Administrative Law Judges, Adjudicators, and Hearing Officers",Ensure compliance with administrative law and ethical standards,2
"Judges, Magistrate Judges, and Magistrates",Conduct court proceedings and hearings,1
"Judges, Magistrate Judges, and Magistrates",Issue rulings on cases and legal disputes,1
"Judges, Magistrate Judges, and Magistrates",Review evidence and legal documents,2
"Judges, Magistrate Judges, and Magistrates",Interpret laws and legal precedents,1
"Judges, Magistrate Judges, and Magistrates",Prepare written opinions and judgments,2
"Judges, Magistrate Judges, and Magistrates",Manage courtroom activities and maintain order,1
"Judges, Magistrate Judges, and Magistrates",Ensure that legal procedures and protocols are followed,1
"Judges, Magistrate Judges, and Magistrates",Listen to testimonies from witnesses and parties involved in cases,1
"Judges, Magistrate Judges, and Magistrates",Provide instructions to juries when applicable,1
"Judges, Magistrate Judges, and Magistrates",Oversee the presentation of evidence by attorneys,1
"Judges, Magistrate Judges, and Magistrates",Rule on the admissibility of evidence,1
"Judges, Magistrate Judges, and Magistrates",Schedule court cases and manage court schedules,2
"Judges, Magistrate Judges, and Magistrates",Engage in legal research to support case decisions,4
"Judges, Magistrate Judges, and Magistrates",Facilitate plea negotiations in criminal cases,1
